Order ID,Product Name,Category,Price,Quantity,Total Sales,Customer ID,Customer Age,Customer Gender,Purchase Date,Purchase Time
261e3740-c0e9-42b1-bf87-881ac950fa3a,audience,Home & Garden,766.85,4,3067.4,81af1248-afff-46ee-a091-81cf33d0d957,39,Male,25-05-2024,06:28:14
0b332b34-46dc-4eaf-a808-fec7e97ffbc6,such,Clothing,331.42,4,1325.68,f3f3f4ac-7ad0-4362-9134-383096d16ac8,21,Male,04-05-2024,19:37:36
432e0b36-724d-4521-85ae-f66db8af8105,read,Clothing,708.1,10,7081,c4fc4269-3c1d-4b6b-ad23-d437c328d63f,27,Female,07-05-2024,17:54:42
ca20fb08-5c65-43b8-9577-3fa49913f93b,skill,Electronics,774.09,2,1548.18,578e2d1a-d92a-449d-8eeb-b704110b2975,51,Female,23-05-2024,22:31:43
1dce189c-8c60-455f-a6f2-69bb2cb71539,cold,Electronics,397.22,6,397.22,dc6ed196-0874-46bd-bbb9-c5534f619349,45,Female,15-03-2024,03:08:25
ebb310bc-aeba-4c74-a6ad-38823e86d950,hit,Home & Garden,857.68,8,6861.44,09c805ea-a1c3-4611-bee1-35b97a7c3a12,33,Female,03-05-2024,21:29:33
96f73850-6cee-4045-81a8-c86ebe2199f9,base,Books,816.4,9,7347.6,30220fbf-9c51-4123-bb9d-d0cd09d3c235,58,Female,02-04-2024,06:44:10
08ba4d6f-56ee-4997-9c54-e61ab0338db0,inside,Clothing,328.49,8,2627.92,dc4e72c8-86d9-4b34-b5dc-613d35c745da,59,Male,28-02-2024,00:02:39
dd18a780-8331-4337-8f4a-80f37cd75adc,film,Clothing,661.57,8,5292.56,879bde3c-395c-404e-bb98-bcc7de6023bf,43,Male,02-06-2024,07:36:56
16de07e0-1064-4f20-9696-78289d898571,ever,Toys,902.55,7,6317.85,d76549ba-b842-461c-941a-9b4e7025b09c,57,Male,12-03-2024,05:04:27
9ef22c26-2a0b-4899-8bad-c1b2096911cc,goal,Clothing,397.64,8,3181.12,795ac3e2-c560-404d-b29a-0546321a47d4,59,Male,29-01-2024,01:55:12
73cddc01-1d32-479b-b4b3-6c32e914cbfe,report,Clothing,141.88,4,567.52,1ad95bab-6741-4bb7-b358-a26be425eef8,55,Male,08-03-2024,16:32:36
8058a0ab-d0bc-47ab-8774-3dc40745d39a,election,Electronics,391.98,1,391.98,b1e47361-346c-48f8-a4dd-67036fbf5320,49,Male,07-05-2024,04:31:56
12908694-0cac-45da-967b-bd37a2f7ba4e,hit,Clothing,668.82,8,5350.56,70337cc7-6caa-4aac-be3d-a597e1a4c1d6,27,Male,15-01-2024,16:38:28
f5619a56-0d23-497f-95fb-d617778661ed,win,Toys,364.38,3,1093.14,9916e8b9-bf0f-4230-9167-3a0754a8fc0b,67,Female,26-02-2024,17:31:22
fbf38cee-cc7c-462a-9173-3a84887923f2,between,Books,435.59,4,1742.36,4e6c15d3-4861-4362-a87e-b73c6fb185bf,29,Female,31-05-2024,12:31:25
a7000d58-c46d-4075-b022-3f18ee02995c,reveal,Toys,871.83,2,1743.66,ad921ff9-8875-4b53-b3e7-fa3d4eefbeec,48,Female,23-02-2024,02:44:39
f9e38d20-ecf5-4bca-bab3-5cbf30848c7f,fine,Books,890.64,5,4453.2,b956cae2-3337-41d4-a667-1b1f810f72fb,55,Male,26-04-2024,18:09:53
5b9f1bf3-44d4-41eb-9bc0-1bbb9d4fd112,sign,Books,134.87,5,674.35,5a88bd0c-0bb2-4ef5-bc7e-239affc93722,63,Female,18-01-2024,13:45:48
786f0a99-1224-4595-8a9c-c44544e5a435,service,Electronics,508.42,6,3050.52,2a32da69-0e07-40fa-8154-bc81396bae73,58,Female,16-03-2024,22:45:12
258fad43-9847-4371-a1b1-4d45fe5b6a9e,human,Clothing,893.99,6,5363.94,9a660ef1-b8c5-4eb0-840a-dc30d0a5784d,25,Male,20-04-2024,04:44:38
a59e6f38-05d8-4d35-a18b-eb5182aab0f8,happen,Clothing,959.94,8,7679.52,ce79b25f-f48b-4b97-880d-b4654b94a0e3,26,Female,02-02-2024,19:50:02
51b730d6-fc8e-45ee-8b04-32bce8c145d9,education,Electronics,502.71,1,502.71,2cb0df72-e9ea-4b59-a474-9ea7ef2bde3e,19,Male,27-05-2024,16:21:14
0061f355-5efd-44db-af69-ad155c55ba28,blood,Clothing,378.11,9,3402.99,9f1af0e1-84b9-4584-8d11-ff08946ae861,29,Male,11-02-2024,18:51:43
f6503317-338c-498b-a264-77d4fa08cffc,energy,Electronics,593.65,10,5936.5,dd8b9e22-88f8-4351-b06e-886e157b4cd4,21,Female,14-01-2024,06:01:18
11c31cb6-39fc-4e93-bac2-e6ffbf53cd73,level,Electronics,927.12,7,6489.84,5c63feea-2ead-479c-ac55-90a096a94b12,21,Male,20-01-2024,05:11:46
52aa8251-d8b5-4268-8d44-36026a98ddfa,get,Toys,574.05,5,2870.25,d6ba78d1-77a3-4f9e-b92e-ff58ec1eb601,39,Male,28-04-2024,14:26:29
9947f903-782e-4319-b89b-961d970bdf6b,sense,Toys,177.99,9,1601.91,bc77a516-4f9f-4f7c-a1b4-78ad02cb2ce2,49,Male,31-03-2024,13:59:35
f6ba9217-bf88-402d-89f8-e1ad49cd1107,campaign,Electronics,855.65,10,8556.5,875a4ebe-e6ef-4f17-89df-9d284f83b503,18,Male,23-01-2024,11:59:16
47be17bf-936f-40fa-a252-e55a65442eaa,performance,Clothing,959.54,4,3838.16,c535da14-8156-422a-8f33-67a95a540348,64,Male,04-03-2024,06:01:38
70ed35d5-a254-4533-8a2c-d1cfe60ed6cf,whose,Books,208.77,1,208.77,a4108820-5676-449e-923e-2fea795924d0,62,Male,06-05-2024,08:05:32
939803ba-7515-46c6-9a22-dc3034e8766f,fill,Home & Garden,269.58,10,2695.8,549751d4-883b-4dab-a09c-e799f48cd015,52,Male,27-01-2024,02:34:27
67548360-704a-45ea-bdc1-02ed2c2e0fd3,including,Books,156.78,3,470.34,50730e7d-3544-40c6-ae51-f69061d88a7f,36,Female,19-04-2024,18:02:59
7950f480-b10d-4ab4-a404-bcc66f43543e,personal,Electronics,640.78,5,3203.9,10e7f967-de5c-4738-90f9-718bb24f2cd5,28,Male,18-03-2024,19:16:30
e29cad36-2522-4674-b8ee-cda105130862,already,Clothing,392.93,7,2750.51,07beed6e-bbeb-482b-b619-d85902326f99,32,Female,25-01-2024,11:22:09
1bd2d47a-52ca-43d8-9f4f-232b81252369,follow,Books,963.66,1,963.66,37e78f7c-e7bc-40e0-babe-adc6cf6e5e9b,24,Female,15-02-2024,07:13:19
e9cf4842-60e1-4ce4-8399-8ae1f4dd0fb5,manager,Electronics,440.65,5,2203.25,d0c61243-502e-41fe-a7c0-ff8b60798866,22,Female,01-02-2024,09:02:08
a1f80f9a-0ece-401c-b12f-1626d0ccaed1,chair,Home & Garden,926.33,6,5557.98,d50ecc50-9e83-4a6e-8789-27b358e9eaa1,59,Female,11-03-2024,15:30:54
